1885	2286,2287
1886	2288
1887	2289
1888,1889	2290
1890	2291
1891	2292,2293
1892	2294
1893	2295,2297
1894	2298
1895	2299,2300
1896	2301,2302
1897,1898	2303
1899	2304,2305
1900,1901	2306
1902	2307
-1	2308
1903	2309
1904,1905	2310,2311
1906	2312
1907	2313,2314
1908	2315
1909	2316
1910	2317,2319
1911	2320
1912,1913	2321,2322
1914	-1
-1	2323
-1	2324
1915	2325,2326
1916	2327
1917	2328
1918	2329,2330
1919	2331,2332
1920	2333
1921,1922	2334,2335
1923	2336
1924	2337
-1	2338
1925	2339
1926	-1
-1	2340
-1	2341
1927	2342,2343
1928	2344
1929,1931	2345,2347
1932	2348,2349
1933	2350,2351
1934	2352
1935	2353,2354
1936	2355
1937,1938	2356
1939	2357
1940	2358
1941	2359,2360
1942	2361
1943	2362
1944	2363,2365
1945	2366,2367
1946	2368,2370
1947	2371
1948,1949	2372
1950	2373
1951	2374,2375
1952	2376
1953,1954	2377
1955	2378
1956	2379,2380
1957	2381
1958	2382,2385
1959	2386
1960	2387
